WAR;START;END
War of the League of Venice;1495;1497
Neapolitan War;1502;1504
War of the Holy League;1511;1514
Austro Turkish War;1512;1519
Second Milanese War;1515;1515
First War of Charles V;1521;1526
Ottoman War;1521;1531
Second War of Charles V;1526;1529
Ottoman War;1532;1535
Third War of Charles V;1536;1538
Ottoman War;1537;1547
Fourth War of Charles V;1542;1544
Siege of Boulogne;1544;1546
Arundel's Rebellion;1549;1550
Ottoman War;1551;1556
Fifth War of Charles V;1552;1556
Austro Turkish War;1556;1562
Franco Spanish War;1556;1559
Scottish War;1559;1560
Spanish Turkish War;1559;1564
First Huguenot War;1562;1564
Austro Turkish War;1565;1568
Spanish Turkish War;1569;1580
Austro Turkish War;1576;1583
War of the Armada;1585;1604
War of the Three Henries;1589;1598
Austro Turkish War;1593;1606
Spanish Turkish War;1610;1614
Spanish Turkish War;1618;1619
Thirty Years War Bohemian Period;1618;1625
Thirty Years War Danish Period;1625;1630
Thirty Years War Swedish Period;1630;1635
Thirty Years War Swedish French Period;1635;1648
Franco Spanish War;1648;1659
Anglo Dutch Naval War;1652;1654
Great Northern War;1654;1660
English Spaniish War;1656;1659
Ottoman War;1657;1664
Anglo Dutch Naval War;1665;1667
Revolutionary War;1667;1668
Dutclh War of Louis XIV;1672;1678
Ottoman War;1682;1699
iranco Spanish War;1683;1684
War of the League of Augsburg;1688;1697
Second Northern War;1700;1721
War of the Spanish Succession;1701;1713
War of the Quadruple Alliance;1718;1720
British Spanish War;1726;1729
War of the Polish Succession;1733;1738
War of the Austrian Succession;1739;1748
Seven Years War;1755;1763
War of the Bavarian Succession;1778;1779
War of the American Revolution;1778;1784
French Revolutionary Wars;1792;1802
Napoleonic Wars;1803;1815
Crimean War;1854;1856
War of Italian Unification;1859;1859
Austro Prussian War;1866;1866
Franco Prussian War;1870;1871
World War I;1914;1918
Russian Civil War;1918;1921
Russo Japanese War;1939;1939
World War II;1939;1945
Korean War;1950;1953
