WAR;START;END;Country
chinese civil war;1927;present;CHN
Xinjiang;1931;present;CHN
Chinese Civil War;1944;1949;CHN
Iran crisis of 1946;1945;1946;IRN
First Indochina War;1946;1954;CHN
Paraguayan Civil War;1947;1947;PRY
myanmar;1948;present;MMR
israeli palestinian;1948;present;ISR
Malayan Emergency;1948;1960;MLI
Korean War;1950;1953;KOR
Mau Mau Uprising;1952;1960;CHN
Second Indochina War (Vietnam War) ;1953;1975;VNM
First Taiwan Strait Crisis;1954;1955;TWN
Algerian War;1954;1962;DZA
Suez Crisis;1956;1957;EGY
Second Taiwan Strait Crisis;1958;1958;TWN
Lebanon crisis;1958;1958;LBN
 Tibetan uprising;1959;1962;CHN
Central American crisis;1960;1996;NIC
Congo Crisis;1960;1965;COG
North Yemen Civil War;1962;1970;YEM
Dhofar Rebellion;1962;1976;SAU
Sarawak Communist Insurgency;1962;1990;IDN
northeast india ;1963;present;IND
Aden Emergency;1963;1967;YEM
Chadian Civil War;1965;1979;TCD
Communist insurgency in Thailand;1965;1983;THA
Bolivian Campaign;1966;1967;VEN
Korean DMZ Conflict;1966;1969;PRK
South African Border War;1966;1990;ZAF
Years of Lead;1968;1982;ITA
Communist insurgency in Malaysia;1968;1989;MYS
civil phillipines;1969;present;PHL
Al-Wadiah War;1969;1969;YEM
Bangladesh Liberation War;1971;1971;BGD
Yemenite War of ;1972;1972;YEM
Eritrean War of Independence;1974;1991;ERI
Angolan Civil War;1974;2002;AGO
Ethiopian Civil War;1974;1991;ETH
cabinda war;1975;present;TUR
Insurgency in Laos;1975;2008;LAO
Indonesian occupation of East Timor;1975;1999;IDN
Western Sahara War;1975;1991;MAR
turkey civil war;1976;present;TUR
Shaba I;1977;1977;COG
Ogaden War;1977;1978;ETH
Cambodian-Vietnamese War;1977;1991;KHM
Mozambican Civil War;1977;1992;MOZ
Shaba II;1978;1978;COG
NDF Rebellion;1978;1982;YEM
Chadian–Libyan conflict;1978;1987;TCD
iran arabia;1979;present;IRN
Yemenite War ;1979;1979;YEM
Soviet–Afghan War;1979;1989;AFG
Sino-Vietnamese War;1979;1979;VNM
Thai–Laotian Border War;1987;1988;THA
nagorno karabach;1988;present;ARM
Jammu kashmir;1989;present;IND
georgian ossetian;1989;present;GEO
abkhaz gerogian;1989;present;GEO
Afghan Civil War;1989;1992;AFG
Yugoslav Wars;1991;2001;SCG
Georgian Civil War;1991;1993;GEO
Yugoslav Wars;1991;2001;SCG
Tajikistani Civil War;1992;1997;TJK
Nepalese Civil War;1996;2006;NPL
First Congo War;1996;1997;COG
Nepalese Civil War;1996;2006;NPL
First Ivorian Civil War;2002;2007;CIV
darfur war;2003;present;SDN
yemen crisis;2011;present;YEM
syrian civil war;2011;present;SYR
Iraqi insurgency;2011;2014;IRQ
Syrian Civil War Lebanon;2012;2017;SYR
ukraine;2014;present;UKR
second lybian war;2014;2020;LBY
